V Mag. (mV),Proper name,Bayer designation,Brightest Stars Distance (ly),Spectral class,Brown dwarf,Constellation,Declination,Brown Dwarf Distance (ly),Spectral Type,Mass (MJ),Radius (RJ),Discovery Year,gravity
0.000−26.74,Sun,,0.000015813,G2,SDSS J000013.54+255418.6[de],Pegasus,25° 54′ 18″,46.1,T4.5,9.1136425536e+28,70777296.90899992,2004.0,1214.2000569364639
0.001−1.46,Sirius,α CMa,0008.6,A1,2MASS J00040288-6410358,Tucana,−64° 10′ 35.8″,192.0,L1γ,3.6074835108000007e+28,116532317.13299991,,177.2955327030964
0.003−0.74,Canopus,α Car,0310,A9,2MASS J00242463-0158201,Pisces,−1° 58′ 20.1″,37.7,M9.5,1.4999536702800002e+29,77926518.81899999,,1648.517250730695
0.004−0.27,Alpha Centauri,α Cen,0004.4,G2,2MASS J00274197+0503417,Pisces,5° 3′ 41.7″,236.0,M9.5β,5.885894149200001e+28,102948795.50399993,,370.64326282297145
0.005−0.05,Arcturus,α Boo,0037,K2,2MASS 0036+1821,Pisces,18° 21′ 10.4″,28.6,L3.5,7.9744372344e+28,67202685.95399994,2000.0,1178.4549471797188
0.03,Vega,α Lyr,0025,A0,2MASSI J0103320+193536,Pisces,19° ′ 35″,70.0,L6β,9.873112766399999e+28,70062374.71799994,,1342.364916132563
0.08,Capella,α Aur,0043,G8,SDSSp J010752.33+004156.1[de],Cetus,−0° 41′ 56.3″,51.0,L8,9.873112766399999e+28,70062374.71799994,,1342.364916132563
0.13,Rigel,β Ori,0860,B8,2MASSI J0117474-340325[de],Sculptor,−34° 3′ 25.8″,163.0,L2:,3.797351064e+28,115817394.942,,188.93802326300383
0.34,Procyon,α CMi,0011.4,F5,2MASS J01415823-4633574[de],Phoenix,−46° 33′ 57.4″,130.0,L0γ,3.797351064e+28,115102472.751,,191.292368446984
0.45,Betelgeuse,α Ori,0640[1],M2,SDSS J015141.69+124429.6,,12° 44′ 30″,70.0,T1,8.9237750004e+28,69347452.52699994,,1238.4366334263539
0.46,Achernar,α Eri,0144,B3,2MASS J02431371−2453298,Fornax,−24° 53′ 29.8″,35.0,T6,6.2656292556e+28,70777296.90899992,2002.0,834.7625391438188
0.61,Hadar,β Cen,0390,B1,DEN 0255-4700,Eridanus,−47° 0′ 50.9″,16.2,L8,1.5189404256e+29,69347452.52699994,2006.0,2107.977248385283
0.76,Altair,α Aql,0017,A7,2MASS J03185403-3421292[de],Fornax,−34° 21′ 29.2″,45.0,L7,9.3035101068e+28,69347452.52699994,2008.0,1291.136064635986
0.76,Acrux,α Cru,0320,B0.5,2MASS J03264225-2102057[de],Eridanus,−21° 2′ 5.7″,80.0,L5γ,3.4176159576000003e+28,92939884.82999992,2003.0,264.06157007472507
0.86,Aldebaran,α Tau,0065,K5,2MASS J03284265+2302051[de],Taurus,23° 2′ 5.1″,98.0,L8,1.02528478728e+29,70062374.71799994,2000.0,1393.9943359838155
0.96,Antares,α Sco,0600,M1.5,2MASP J0345432+254023,,25° 40′ 23.3″,88.0,L0,1.4050198936800001e+29,75066830.055,1997.0,1664.0735678279193
0.97,Spica,α Vir,0260,B1,Teide 1,Taurus,+24° 22′ 31″,380.0,M8,1.0442715426e+29,270240588.1979999,1995.0,95.4329811379459
1.14,Pollux,β Gem,0034,K0,2MASS J03552337+1133437,Taurus,11° 33′ 43.7″,29.8,L5γ,3.797351064e+28,94369729.21199998,2006.0,284.57813834448314
1.16,Fomalhaut,α PsA,0025,A3,2MASS J04151954−0935066,Eridanus,−9° 35′ 6.6″,18.6,T8,5.6960265960000004e+28,67917608.14499994,2002.0,824.1256757641466
1.25,Deneb,α Cyg,2600.0,A2,2MASS J04285096-2253227[de],Eridanus,−22° 53′ 22.7″,85.0,L0.5,1.5189404256e+29,77926518.81899999,2003.0,1669.384557701969
1.25,Mimosa,β Crucis,0350,B0.5,2MASS J04390101-2353083[de],Eridanus,−23° 53′ 8.3″,29.5,L6.5,9.1136425536e+28,69347452.52699994,2003.0,1264.78634903117
1.39,Regulus,α Leo,0077,B7,2MASS J04455387-3048204[de],Caelum,−30° 48′ 20.4″,42.0,L2,1.2151523404800001e+29,71492219.1,2003.0,1586.716634404568
1.50,Adhara,ε CMa,0430,B2,2MASS J04510093-3402150[de],Caelum,−34° 2′ 15″,69.0,L0.5,1.3670463830400001e+29,74351907.864,2003.0,1650.3848129670293
1.62,Shaula,λ Sco,0700,B2,2MASS J05002100+0330501[de],Orion,3° 30′ 50.1″,44.0,L4,1.2151523404800001e+29,71492219.1,2008.0,1586.716634404568
1.62,Castor,α Gem,0052,A1,2MASS J05012406-0010452[de],Orion,−0° 10′ 45.2″,64.0,L4γ,3.9872186172e+28,98659262.35799992,2008.0,273.3886765721485
1.64,Gacrux,γ Cru,0088,M3.5,2MASS J05160945-0445499[de],Orion,−4° 45′ 49.9″,73.0,T5.5,8.9237750004e+28,69347452.52699994,2003.0,1238.4366334263539
1.64,Bellatrix,γ Ori,0240,B2,LSR 0602+3910[de],Auriga,39° 10′ 59.2″,34.6,L1β,5.3162914896e+28,100804028.93099993,2003.0,349.1718362013979
1.65,Elnath,β Tau,0130,B7,2MASS J06244595-4521548[de],Puppis,−45° 21′ 54.8″,39.0,L5,1.06325829792e+29,70777296.90899992,2008.0,1416.5667330925412
1.69,Miaplacidus,β Car,0110,A1,2MASS J06411840-4322329[de],Puppis,−43° 22′ 32.9″,65.0,L1.5,1.2721126064400002e+29,72207141.291,2008.0,1628.3638629960615
1.69,Alnilam,ε Ori,2000.0,B0,DENIS-P J0652197-253450[de],Canis Major,−25° 34′ 50.5″,51.0,L0,1.424006649e+29,75066830.055,2008.0,1686.5610484742424
1.72,Gamma Velorum,,1100.0,WC8,UGPS J072227.51-054031.2,Monoceros,−05° 40′ 38.4″,13.4,T9,4.9365563831999995e+28,70062374.71799994,2010.0,671.1824580662815
1.74,Alnair,α Gru,0101,B7,2MASSI J0727182+171001[de],Gemini,17° 10′ 1.2″,29.6,T7,7.784569681200001e+28,67202685.95399994,2002.0,1150.3964960563922
1.77,Alioth,ε UMa,0081,A1,2MASS J07290002-3954043[de],Puppis,−39° 54′ 4.4″,25.8,T8 pec,7.0250994684000005e+28,67202685.95399994,2007.0,1038.1626915630857
1.77,Alnitak,ζ Ori,01050,O9.7,SDSS J074201.41+205520.5[de],Gemini,20° 55′ 19.8″,49.0,T5,8.164304787600002e+28,67202685.95399994,2004.0,1206.5133983030455
1.79,Dubhe,α UMa,0120,G9,DENIS-P J0751164-253043[de],Puppis,−25° 30′ 43.2″,55.0,L2.5,1.34805962772e+29,73636985.673,2008.0,1659.217425103749
1.80,Mirfak,α Per,0590,F5,2MASS J07522390+1612157,,16° 12′ 15.7″,60.0,M7βγ,1.2910993617600003e+29,143699360.39099994,,417.28829089746654
1.82,Wezen,δ CMa,1600.0,F8,DENIS J081730.0-615520,Carina,−61° 55′ 15.8″,16.1,T6,8.3541723408e+28,67202685.95399994,2010.0,1234.571849426372
1.84,Sargas,θ Sco,0270,F0,2MASS J08251968+2115521[de],Cancer,21° 15′ 52.1″,35.0,L7.5,9.873112766399999e+28,70062374.71799994,2000.0,1342.364916132563
1.85,Kaus Australis,ε Sgr,0140,B9.5,SDSSp J083008.12+482847.4[de],Lynx,48° 28′ 48.2″,43.0,L8,9.1136425536e+28,70777296.90899992,2002.0,1214.2000569364639
1.86,Avior,ε Car,0630,K3,LHS 2021,,9° 47′ 15.4″,55.0,M6.5,1.67083446816e+29,82216051.96499994,,1649.7053854867927
1.86,Alkaid,η UMa,0104,B3,SDSS J083048.80+012831.1[de],Hydra,1° 28′ 31.1″,77.0,T4.5,8.7339074472e+28,68632530.33599994,2004.0,1237.4702484573406
1.90,Menkalinan,β Aur,081,A1,2MASSI J0835425-081923[de],Hydra,−8° 19′ 23.7″,23.53,L5,1.1771788298400003e+29,71492219.1,2003.0,1537.1317395794251
